학년도,학교급별,학년,성별,키
2016,초,1,남,131.6
2016,초,1,남,123.3
2016,초,1,남,123.8
2016,초,1,남,122.3
2016,초,1,남,123.5
2016,초,1,남,123.4
2016,초,1,남,122.6
2016,초,1,남,127.2
2016,초,1,남,119.4
2016,초,1,남,118.4
2016,초,1,남,119.4
2016,초,1,남,125.6
2016,초,1,남,129.3
2016,초,1,여,113.5
2016,초,1,여,121.6
2016,초,1,여,120.6
2016,초,1,여,115.7
2016,초,1,여,123.5
2016,초,1,여,125.7
2016,초,1,여,112.2
2016,초,1,여,115.4
2016,초,1,여,123.3
2016,초,1,여,120.4
2016,초,1,여,117.1
2016,초,1,여,131.9
2016,초,2,남,126
2016,초,2,남,137.3
2016,초,2,남,126.6
2016,초,2,남,129.9
2016,초,2,남,129.2
2016,초,2,남,119.1
2016,초,2,남,129.4
2016,초,2,남,124.3
2016,초,2,남,130.8
2016,초,2,남,125.9
2016,초,2,남,125.7
2016,초,2,여,127.6
2016,초,2,여,118.2
2016,초,2,여,124.9
2016,초,2,여,127.9
2016,초,2,여,127.4
2016,초,2,여,122.6
2016,초,2,여,122.7
2016,초,2,여,129
2016,초,2,여,132.1
2016,초,2,여,139.6
2016,초,2,여,134.1
2016,초,2,여,128.7
2016,초,2,여,122.8
2016,초,2,여,123.1
2016,초,2,여,118.4
2016,초,3,남,132.9
2016,초,3,남,133.9
2016,초,3,남,139.2
2016,초,3,남,133.6
2016,초,3,남,126.7
2016,초,3,남,133.2
2016,초,3,남,134.9
2016,초,3,남,140.3
2016,초,3,남,130
2016,초,3,남,134.9
2016,초,3,남,129.4
2016,초,3,남,126
2016,초,3,여,134.8
2016,초,3,여,142.9
2016,초,3,여,132.6
2016,초,3,여,127.3
2016,초,3,여,130.5
2016,초,3,여,132.1
2016,초,3,여,129.4
2016,초,3,여,131.5
2016,초,3,여,137.7
2016,초,3,여,123.5
2016,초,3,여,121.7
2016,초,3,여,133.8
2016,초,4,남,140.2
2016,초,4,남,133.3
2016,초,4,남,144.9
2016,초,4,남,139.8
2016,초,4,남,135.4
2016,초,4,남,145.1
2016,초,4,남,140.4
2016,초,4,남,141.5
2016,초,4,남,139.2
2016,초,4,남,146.2
2016,초,4,남,141.2
2016,초,4,남,132.6
2016,초,4,여,151.5
2016,초,4,여,151.2
2016,초,4,여,147
2016,초,4,여,141.6
2016,초,4,여,135.7
2016,초,4,여,144.9
2016,초,4,여,149
2016,초,4,여,142.6
2016,초,4,여,138.2
2016,초,4,여,136.2
2016,초,4,여,127
2016,초,4,여,124.8
2016,초,5,남,149.6
2016,초,5,남,148.2
2016,초,5,남,139.6
2016,초,5,남,145.1
2016,초,5,남,132.5
2016,초,5,남,144.3
2016,초,5,남,140.6
2016,초,5,남,139.6
2016,초,5,남,149.1
2016,초,5,남,153.1
2016,초,5,남,146.3
2016,초,5,여,148.7
2016,초,5,여,155.7
2016,초,5,여,145.9
2016,초,5,여,145.5
2016,초,5,여,154.9
2016,초,5,여,143.6
2016,초,5,여,139.6
2016,초,5,여,138.9
2016,초,5,여,134.9
2016,초,5,여,144.5
2016,초,6,남,135.2
2016,초,6,남,147.6
2016,초,6,남,157.1
2016,초,6,남,138.8
2016,초,6,남,157.3
2016,초,6,남,152.6
2016,초,6,남,143.5
2016,초,6,남,150.5
2016,초,6,남,155.5
2016,초,6,남,150.2
2016,초,6,남,151.5
2016,초,6,남,149.1
2016,초,6,여,149.7
2016,초,6,여,162.3
2016,초,6,여,155.9
2016,초,6,여,156.1
2016,초,6,여,130.7
2016,초,6,여,156
2016,초,6,여,161.6
2016,초,6,여,145.2
2016,초,6,여,158.3
2016,초,6,여,148.1
2016,초,6,여,150.4
2016,초,6,남,153.2
2016,초,1,남,120
2016,초,1,남,126
2016,초,1,남,123
2016,초,1,여,129
2016,초,1,남,117
2016,초,1,남,123.7
2016,초,1,여,118.4
2016,초,1,여,126
2016,초,1,여,106
2016,초,1,남,120
2016,초,1,여,120
2016,초,1,여,125.7
2016,초,1,남,116.4
2016,초,1,남,128.5
2016,초,1,여,118.2
2016,초,1,남,136
2016,초,1,여,126
2016,초,1,남,118
2016,초,2,남,129.3
2016,초,2,남,121.9
2016,초,2,남,129.6
2016,초,2,남,130.1
2016,초,2,남,128.4
2016,초,2,여,128.6
2016,초,2,여,130.6
2016,초,2,여,115.2
2016,초,2,여,125.8
2016,초,2,여,125.6
2016,초,2,여,122
2016,초,2,여,122
2016,초,2,여,117.5
2016,초,2,남,123.1
2016,초,2,여,128.6
2016,초,2,남,119.7
2016,초,2,남,132.8
2016,초,2,남,123.5
2016,초,2,여,124.2
2016,초,2,여,123.8
2016,초,2,남,123.9
2016,초,2,남,128.4
2016,초,2,여,130
2016,초,2,여,126.7
2016,초,2,남,125.8
2016,초,3,여,125.1
2016,초,3,여,126.9
2016,초,3,남,136.4
2016,초,3,남,127.7
2016,초,3,남,143.6
2016,초,3,여,133.3
2016,초,3,남,134
2016,초,3,남,129.7
2016,초,3,남,127.8
2016,초,3,여,141.2
2016,초,3,남,132.4
2016,초,3,남,126.9
2016,초,3,여,136.4
2016,초,3,여,135.3
2016,초,3,여,130.9
2016,초,3,여,133
2016,초,3,남,121.8
2016,초,3,여,132.8
2016,초,3,여,137.3
2016,초,3,남,131.7
2016,초,3,남,129.6
2016,초,3,여,128.9
2016,초,3,남,137.6
2016,초,3,남,133
2016,초,4,남,127.4
2016,초,4,남,145.7
2016,초,4,여,138.6
2016,초,4,여,149.4
2016,초,4,남,139
2016,초,4,여,133.3
2016,초,4,남,142.5
2016,초,4,남,137
2016,초,4,남,135.5
2016,초,4,남,129
2016,초,4,남,129.9
2016,초,4,여,141
2016,초,4,여,143.3
2016,초,4,남,140.8
2016,초,4,남,137.7
2016,초,4,여,126.4
2016,초,4,여,144
2016,초,4,여,131.9
2016,초,4,여,138
2016,초,4,남,137
2016,초,4,남,143
2016,초,4,여,144.8
2016,초,4,여,133
2016,초,4,남,145.1
2016,초,4,여,133.7
2016,초,5,남,148.6
2016,초,5,남,152.3
2016,초,5,남,155
2016,초,5,여,141.5
2016,초,5,여,148.7
2016,초,5,여,162.1
2016,초,5,여,145.9
